"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2017","South Dakota",72.793,39,70.2923,54,105.338,139,103.825,185,102.323,146,102.21,119,1.61472,144
"2017","South Dakota St.",69.2813,188,66.6896,222,110.106,51,110.775,63,111.623,330,112.107,309,-1.3329,187
"2017","South Florida",69.2088,192,68.2245,134,93.3369,334,96.519,310,107.589,262,107.693,231,-11.1744,291
"2017","Southeast Missouri St.",69.9285,151,68.0352,151,104.796,148,103.299,192,107.058,248,109.286,264,-5.98647,230
"2017","Southeastern Louisiana",69.1979,195,66.6144,227,100.723,232,97.5527,295,99.5685,71,103.912,162,-6.35941,235
"2017","Southern",69.3635,185,67.857,163,101.407,213,98.1237,289,105.428,218,113.729,323,-15.6058,326
"2017","Southern Illinois",66.1022,310,64.8594,298,101.035,227,104.83,159,103.334,168,103.657,160,1.17253,149
"2017","Southern Miss",67.2989,277,65.0373,291,91.0921,345,92.9262,334,106.824,243,108.444,249,-15.5176,324
"2017","Southern Utah",73.0453,34,70.9037,35,102.489,187,101.16,233,116.513,348,119.718,349,-18.5576,334
"2017","St. Bonaventure",70.5702,113,68.2482,133,108.051,83,109.077,87,101.485,128,101.685,107,7.39131,90
"2017","St. Francis NY",68.6091,228,66.6244,226,88.7609,348,87.8713,350,107.543,260,112.061,307,-24.1896,346
"2017","St. Francis PA",70.885,100,69.7523,70,103.852,168,102.041,219,104.226,195,109.601,272,-7.56037,253
"2017","St. John's",73.9333,24,72.8059,13,104.137,160,109.126,86,106.412,237,102.634,130,6.49235,96
"2017","Stanford",69.2415,190,67.8914,162,99.67,252,104.619,165,102.997,162,99.1177,69,5.50093,106
"2017","Stephen F. Austin",68.6919,223,65.9687,259,98.581,272,96.6606,307,99.3017,67,102.468,125,-5.80754,226
"2017","Stetson",74.5255,16,71.9476,22,101.122,225,100.9,238,112.851,333,115.159,334,-14.2587,318
"2017","Stony Brook",66.796,290,65.3635,275,103.728,169,102.018,220,103.039,163,105.936,195,-3.9178,211
"2017","Syracuse",67.6307,268,65.9226,264,111.201,38,115.862,29,103.345,169,101.569,103,14.2932,51
"2017","TCU",68.1887,245,66.4949,234,107.424,91,113.176,41,103.222,167,97.8423,59,15.334,39
"2017","Temple",67.8472,255,66.5771,229,103.247,175,108.427,101,103.872,182,104.202,166,4.22478,117
"2017","Tennessee",71.3506,82,68.8599,101,103.286,173,109.796,77,101.41,125,97.6923,55,12.1039,60
"2017","Tennessee Martin",69.5616,172,66.854,216,108.006,85,106.93,127,108.441,280,110.749,295,-3.81914,210
"2017","Tennessee St.",68.4003,237,66.4608,235,100.651,233,100.294,249,98.4639,57,99.7558,77,0.538329,159
"2017","Tennessee Tech",69.9928,146,67.8029,167,100.199,241,98.8666,274,105.195,212,106.978,218,-8.11185,257
"2017","Texas",68.5314,232,67.0926,209,97.8613,289,104.125,178,100.697,103,93.9601,22,10.1645,72
"2017","Texas A&M",66.8153,289,63.9909,312,104.924,143,108.462,100,101.379,124,97.5357,52,10.9263,68
"2017","Texas A&M Corpus Chris",69.4468,181,67.43,195,104.298,157,102.772,205,102.837,158,106.372,206,-3.59982,205
"2017","Texas Southern",69.3789,184,68.0729,146,106.57,108,103.633,187,102.692,154,107.31,227,-3.67695,208
"2017","Texas St.",63.9866,341,61.4733,345,102.933,177,102.527,211,100.19,88,102.699,134,-0.171274,170
"2017","Texas Tech",66.0026,312,63.2845,328,109.432,59,112.508,46,100.149,87,97.7205,56,14.7875,45
